timestamp,text,retweeted_status_id,rating_numerator,rating_denominator,name,jpg_url,created_at,retweet_count,favorite_count,rating,dog_stage,breed,social_total
2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.,,13,10,Phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,2017-08-01 16:23:56+00:00,8853,39467,1.3,None,None,48320
2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.",,13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,2017-08-01 00:17:27+00:00,6514,33819,1.3,None,None,40333
2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.,,12,10,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,2017-07-31 00:18:03+00:00,4328,25461,1.2,None,chihuahua,29789
2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal.  happens to the best of us,,13,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,2017-07-30 15:58:51+00:00,8964,42908,1.3,None,None,51872
2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek",,12,10,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2017-07-29 16:00:24+00:00,9774,41048,1.2,None,basset,50822
2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) #BarkWeek,,13,10,Unknown,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,2017-07-29 00:08:17+00:00,3261,20562,1.3,None,None,23823
2017-07-28 16:27:12+00:00,Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below,,13,10,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,2017-07-28 16:27:12+00:00,2158,12041,1.3,None,None,14199
2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.,,13,10,Unknown,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2017-07-28 00:22:40+00:00,16716,56848,1.3,None,pomeranian,73564
2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek,,13,10,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,2017-07-27 16:25:51+00:00,4429,28226,1.3,None,None,32655
2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate,,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,2017-07-26 15:59:51+00:00,7711,32467,1.4,doggo,pembroke,40178
2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.  would risk a petting #BarkWeek,,13,10,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,2017-07-26 00:31:25+00:00,7624,31166,1.3,None,samoyed,38790
2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you.  terrifyingly good boy,,13,10,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,2017-07-25 16:11:53+00:00,5156,28268,1.3,None,None,33424
2017-07-25 01:55:32+00:00,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.,,13,10,Unknown,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,2017-07-25 01:55:32+00:00,8538,38818,1.3,puppo,pembroke,47356
2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok.  would assist,,12,10,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,2017-07-25 00:10:02+00:00,4735,27672,1.2,None,french_bulldog,32407
2017-07-24 17:02:04+00:00,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.  puppared puppo #BarkWeek,,13,10,Stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,2017-07-24 17:02:04+00:00,2321,15359,1.3,puppo,golden_retriever,17680
2017-07-24 00:19:32+00:00,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim.  fr*ckin frightening #BarkWeek,,13,10,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,2017-07-24 00:19:32+00:00,5637,25652,1.3,None,whippet,31289
2017-07-23 00:22:39+00:00,This is Jim. He found a fren. Taught him how to sit like the good boys.  for both,,12,10,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,2017-07-23 00:22:39+00:00,4709,29611,1.2,None,golden_retriever,34320
2017-07-22 16:56:37+00:00,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it.  would do my best,,13,10,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,2017-07-22 16:56:37+00:00,4559,26080,1.3,None,None,30639
2017-07-22 00:23:06+00:00,This is Ralphus. He's powering up. Attempting maximum borkdrive.  inspirational af,,13,10,Ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,2017-07-22 00:23:06+00:00,3732,20290,1.3,None,siberian_husky,24022
2017-07-20 16:49:33+00:00,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice.  didn't want the job anyway,,12,10,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,2017-07-20 16:49:33+00:00,3653,22201,1.2,None,french_bulldog,25854
2017-07-19 16:06:48+00:00,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale.  h*ckin strategic,,13,10,Jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,2017-07-19 16:06:48+00:00,5609,30779,1.3,None,basset,36388
2017-07-19 00:47:34+00:00,This is Canela. She attempted some fancy porch pics. They were unsuccessful.  someone help her,,13,10,Canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2017-07-19 00:47:34+00:00,18781,69871,1.3,None,pembroke,88652
